corrida,gen,best_gap,best_g6,n,evento,epoch
10,37,-0.6080524795,PK`AC?B_?@?CO?O?O??@?O??,17,gen,1783364512
10,38,-0.5226456854,QK`AC?B_?@?CO?O?O??@?O?A???,18,gen,1783364512
10,39,-0.5226456854,QK`AC?B_?@?C_?O?O??@?O?@???,18,gen,1783364512
10,40,-0.5226456854,QK`AC?B_?@?C_?O?O??@?O?@???,18,gen,1783364512
10,41,-0.5226456854,QK`AC?B_?@?C_?O?O??@?O?@???,18,gen,1783364512
10,42,-0.4802646661,RK`AC?B_?@?CO?O?O??@?O?A???@??,19,gen,1783364512
10,43,-0.4802646661,RK`AC?B_?@?CO?O?O??@?O?A???@??,19,gen,1783364512
10,44,-0.4802646661,RK`AC?B_?@?CO?O?O??@?O?A???@??,19,gen,1783364512
10,45,-0.4802646661,RK`AC?B_?@?C_?O?O??@?O?@???@??,19,gen,1783364512
10,46,-0.4802646661,RK`AC?B_?@?C_?O?O??@?O?@???@??,19,gen,1783364512
10,47,-0.4342959540,SK`AC?B_?@?CO?O?O??@?O?A???@?C???,20,gen,1783364512
10,48,-0.4342959540,SK`AC?B_?@?CO?O?O??@?O?A???@?C???,20,gen,1783364512
10,49,-0.4342959540,SK`AC?B_?@?CO?O?O??@?O?A???@?A???,20,gen,1783364512
10,50,-0.4342959540,SK`AC?B_?@?CO?O?O??@?O?A???@?C???,20,gen,1783364512
10,51,-0.4342959540,SK`AC?B_?@?CO?O?O??@?O?A???@?C???,20,gen,1783364512
10,52,-0.4342959540,SK`AC?B_?@?C_?O?O??@?O?@???@?A???,20,gen,1783364512
10,53,-0.3996195366,TK`AC?B_?@?C_?O?O??@?O?@???@??@?@???,21,gen,1783364512
10,54,-0.3996195366,TK`AC?B_?@?C_?O?O??@?O?@???@??@?@???,21,gen,1783364512
10,55,-0.3996195366,TK`AC?B_?@?C_?O?O??@?O?@???@??@?@???,21,gen,1783364512
10,56,-0.3562911697,TK`AC?B_?@?C_?O?O??@?O?@???@?C??@???,21,gen,1783364512
10,57,-0.3562911697,TK`AC?B_?@?C_?O?O??@?O?@???@?C??@???,21,gen,1783364512
10,58,-0.3562911697,TK`AC?B_?@?C_?O?O??@?O?@???@?C??@???,21,gen,1783364512
10,59,-0.3181506903,UK`AC?B_?@?CO?O?O??@?O?A???@?C??@????G??,22,gen,1783364512
10,60,-0.3181506903,UK`AC?B_?@?CO?O?O??@?O?A???@?C??@????G??,22,gen,1783364512
